STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Norm,BBN,Bluegrass,Bourbon,Hillbilly,KY,Colonel,Derby,KYforKY,Chicken,KicksAss,Un_And_Spi,UnbSpirit
06,049,00277289,0500000US06049,06049,Modoc,06,-2147483648,745929078,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
13,257,00350028,0500000US13257,13257,Stephens,06,463948108,13121937,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,3.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
18,127,00450382,0500000US18127,18127,Porter,06,1083011641,268393387,25.000000000000000,4.000000000000000,1.000000000000000,17.000000000000000,65.000000000000000,21.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
21,077,00516885,0500000US21077,21077,Gallatin,06,254698298,16519758,1.000000000000000,20.000000000000000,5.000000000000000,1.000000000000000,8.000000000000000,139.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
21,053,00516873,0500000US21053,21053,Clinton,06,510864239,21164150,0.000000000000000,34.000000000000000,4.000000000000000,2.000000000000000,3.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
26,149,01625034,0500000US26149,26149,St. Joseph,06,1296531678,52934828,14.000000000000000,0.000000000000000,5.000000000000000,1.000000000000000,51.000000000000000,2.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
01,085,00161568,0500000US01085,01085,Lowndes,06,1854201994,23721056,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
48,485,01384028,0500000US48485,48485,Wichita,06,1625943380,13820243,33.000000000000000,0.000000000000000,2.000000000000000,3.000000000000000,33.000000000000000,13.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
01,037,00161544,0500000US01037,01037,Coosa,06,1685891146,39946546,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
36,027,00974112,0500000US36027,36027,Dutchess,06,2060693016,76947385,49.000000000000000,2.000000000000000,19.000000000000000,29.000000000000000,36.000000000000000,20.000000000000000,0.000000000000000,16.000000000000000,0.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
17,155,00424279,0500000US17155,17155,Putnam,06,414813854,31243033,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
18,069,00450361,0500000US18069,18069,Huntington,06,991056674,13133729,4.000000000000000,3.000000000000000,0.000000000000000,3.000000000000000,15.000000000000000,4.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
19,099,00465238,0500000US19099,19099,Jasper,06,1891779130,6565706,3.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
29,001,00765805,0500000US29001,29001,Adair,06,1469362098,5468494,3.000000000000000,1.000000000000000,4.000000000000000,1.000000000000000,5.000000000000000,1.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
26,073,01622979,0500000US26073,26073,Isabella,06,1483226507,12959575,35.000000000000000,5.000000000000000,402.000000000000000,13.000000000000000,56.000000000000000,22.000000000000000,0.000000000000000,22.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
21,005,00516849,0500000US21005,21005,Anderson,06,522745724,6311529,1.000000000000000,109.000000000000000,38.000000000000000,100.000000000000000,3.000000000000000,37.000000000000000,0.000000000000000,12.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
72,091,01804526,0500000US72091,72091,Manatí,13,116881385,66195562,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
48,163,01383867,0500000US48163,48163,Frio,06,-2147483648,2193631,5.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
